,supplier_ids,id,product_code,product_name,description,standard_cost,list_price,reorder_level,target_level,quantity_per_unit,discontinued,minimum_reorder_quantity,category,attachments
0,4,1,NWTB-1,Northwind Traders Chai,,13.5,18.0,10,40,10 boxes x 20 bags,0,10.0,Beverages,b''
1,10,3,NWTCO-3,Northwind Traders Syrup,,7.5,10.0,25,100,12 - 550 ml bottles,0,25.0,Condiments,b''
2,10,4,NWTCO-4,Northwind Traders Cajun Seasoning,,16.5,22.0,10,40,48 - 6 oz jars,0,10.0,Condiments,b''
3,10,5,NWTO-5,Northwind Traders Olive Oil,,16.0125,21.35,10,40,36 boxes,0,10.0,Oil,b''
4,2;6,6,NWTJP-6,Northwind Traders Boysenberry Spread,,18.75,25.0,25,100,12 - 8 oz jars,0,25.0,"Jams, Preserves",b''
5,2,7,NWTDFN-7,Northwind Traders Dried Pears,,22.5,30.0,10,40,12 - 1 lb pkgs.,0,10.0,Dried Fruit & Nuts,b''
6,8,8,NWTS-8,Northwind Traders Curry Sauce,,30.0,40.0,10,40,12 - 12 oz jars,0,10.0,Sauces,b''
7,2;6,14,NWTDFN-14,Northwind Traders Walnuts,,17.4375,23.25,10,40,40 - 100 g pkgs.,0,10.0,Dried Fruit & Nuts,b''
8,6,17,NWTCFV-17,Northwind Traders Fruit Cocktail,,29.25,39.0,10,40,15.25 OZ,0,10.0,Canned Fruit & Vegetables,b''
9,1,19,NWTBGM-19,Northwind Traders Chocolate Biscuits Mix,,6.9,9.2,5,20,10 boxes x 12 pieces,0,5.0,Baked Goods & Mixes,b''
10,2;6,20,NWTJP-6,Northwind Traders Marmalade,,60.75,81.0,10,40,30 gift boxes,0,10.0,"Jams, Preserves",b''
11,1,21,NWTBGM-21,Northwind Traders Scones,,7.5,10.0,5,20,24 pkgs. x 4 pieces,0,5.0,Baked Goods & Mixes,b''
12,4,34,NWTB-34,Northwind Traders Beer,,10.5,14.0,15,60,24 - 12 oz bottles,0,15.0,Beverages,b''
13,7,40,NWTCM-40,Northwind Traders Crab Meat,,13.8,18.4,30,120,24 - 4 oz tins,0,30.0,Canned Meat,b''
14,6,41,NWTSO-41,Northwind Traders Clam Chowder,,7.2375,9.65,10,40,12 - 12 oz cans,0,10.0,Soups,b''
15,3;4,43,NWTB-43,Northwind Traders Coffee,,34.5,46.0,25,100,16 - 500 g tins,0,25.0,Beverages,b''
16,10,48,NWTCA-48,Northwind Traders Chocolate,,9.5625,12.75,25,100,10 pkgs,0,25.0,Candy,b''
17,2,51,NWTDFN-51,Northwind Traders Dried Apples,,39.75,53.0,10,40,50 - 300 g pkgs.,0,10.0,Dried Fruit & Nuts,b''
18,1,52,NWTG-52,Northwind Traders Long Grain Rice,,5.25,7.0,25,100,16 - 2 kg boxes,0,25.0,Grains,b''
19,1,56,NWTP-56,Northwind Traders Gnocchi,,28.5,38.0,30,120,24 - 250 g pkgs.,0,30.0,Pasta,b''
20,1,57,NWTP-57,Northwind Traders Ravioli,,14.625,19.5,20,80,24 - 250 g pkgs.,0,20.0,Pasta,b''
